computer_use_group,n,mean,std,median,se,ci95_lower,ci95_upper
0 小時,2413,6.83713220058019,1.4205015340145368,7.0,0.028917653269095858,6.780453600172763,6.893810800987618
少於 1 小時,2686,6.883469843633656,1.2900602761973858,7.0,0.02489183986405484,6.834681837500109,6.932257849767203
1 小時,1993,6.875564475664827,1.2884916912172089,7.0,0.02886210305300255,6.8189947536809425,6.932134197648712
2 小時,2034,6.830383480825959,1.267956573216018,7.0,0.02811440554581488,6.7752792459561615,6.885487715695756
3 小時,1315,6.704182509505704,1.2659716298472776,7.0,0.034910904171869706,6.635757137328839,6.7726078816825686
4 小時,633,6.608214849921011,1.3423701895968818,7.0,0.0533544250245213,6.503640176872949,6.712789522969073
5 小時以上,1034,6.459381044487428,1.586729210508704,6.0,0.049344931164274,6.362664979405451,6.5560971095694045
